"client_rk","visit_dttm","registration_flag","application_flag","finish_flag"
2887,2023-01-15 06:31:31.967,0,0,0
30,2022-09-19 00:37:42.583,0,0,0
1074,2022-11-21 16:49:32.362,0,0,0
740,2023-01-19 05:17:10.898,0,0,0
548,2023-01-01 06:20:50.420,0,0,0
2321,2022-11-04 06:06:36.059,0,0,0
254,2022-11-03 23:21:16.508,0,0,0
2636,2022-12-22 12:44:06.099,0,0,0
3429,2022-11-20 06:24:13.357,0,0,0
3883,2022-10-12 06:07:31.768,1,0,0
2700,2022-09-14 00:57:54.818,0,0,0
3397,2022-11-15 09:05:32.777,0,0,0
2465,2022-09-01 10:17:15.670,0,0,0
708,2022-09-01 16:37:01.468,0,0,0
959,2022-09-16 10:36:21.341,1,1,0
1939,2022-10-31 03:35:04.514,0,0,0
831,2022-09-20 02:10:44.243,0,0,0
3162,2022-09-01 15:53:02.485,0,0,0
3728,2023-01-01 02:42:19.586,0,0,0
1250,2022-09-05 16:22:12.028,0,0,0
142,2023-01-16 23:13:16.766,0,0,0
756,2023-02-01 16:46:03.653,0,0,0
1122,2022-12-07 10:10:22.414,0,0,0
799,2022-11-22 17:24:47.699,0,0,0
1736,2022-12-02 17:29:10.943,0,0,0
1843,2023-01-29 21:31:13.410,0,0,0
329,2023-01-05 14:32:35.451,0,0,0
2652,2022-12-31 04:31:16.827,0,0,0
1325,2022-10-29 06:11:34.640,1,1,1
2086,2022-10-23 17:26:58.683,1,0,0
2620,2023-01-26 12:56:22.231,0,0,0
1421,2022-10-23 01:29:10.531,0,0,0
3557,2022-09-16 23:38:08.092,1,0,0
2433,2022-10-09 08:30:36.458,0,0,0
3632,2022-12-26 03:10:41.663,0,0,0
441,2022-10-27 06:29:00.955,0,0,0
3031,2023-01-14 15:37:01.000,0,0,0
4091,2022-12-09 19:12:58.067,1,0,0
2481,2023-01-06 00:40:59.592,0,0,0
2166,2023-01-14 02:04:36.197,0,0,0
1608,2022-10-07 20:26:46.358,0,0,0
2369,2023-01-24 06:09:21.279,1,0,0
2019,2022-09-21 10:42:22.128,0,0,0
3584,2022-09-28 15:34:30.132,1,0,0
879,2022-12-11 10:25:24.525,0,0,0
2545,2023-01-17 00:57:19.460,0,0,0
1656,2022-09-03 08:41:30.736,1,0,0
1469,2022-11-17 16:29:29.651,0,0,0
110,2022-12-31 02:06:38.387,0,0,0
2118,2022-10-16 06:58:56.088,0,0,0
2684,2023-01-05 09:24:55.917,0,0,0
1170,2022-12-02 14:54:54.364,0,0,0
1218,2022-09-18 06:19:10.885,0,0,0
2732,2023-01-17 14:24:24.103,0,0,0
2529,2023-01-16 02:50:18.676,0,0,0
1987,2022-09-20 06:28:02.530,0,0,0
3082,2022-12-06 18:38:23.425,0,0,0
2294,2022-09-22 17:52:03.800,0,0,0
1533,2023-01-08 06:33:48.098,1,0,0
3808,2022-12-16 08:20:20.760,0,0,0
190,2022-10-23 07:54:43.127,0,0,0
532,2022-10-25 23:28:57.069,0,0,0
3947,2023-01-12 19:07:20.610,0,0,0
2999,2022-12-22 12:18:23.108,0,0,0
3573,2022-11-21 13:51:59.127,0,0,0
377,2022-12-18 19:26:58.949,0,0,0
2198,2023-01-09 01:27:47.983,0,0,0
660,2022-11-02 19:38:31.543,0,0,0
2035,2022-10-28 19:38:47.845,0,0,0
1795,2023-01-20 17:21:09.561,0,0,0
3381,2022-12-08 10:53:17.252,0,0,0
2003,2022-11-11 20:45:44.803,1,0,0
612,2022-11-01 13:21:24.020,0,0,0
783,2022-09-11 12:17:26.895,0,0,0
1784,2022-12-27 14:18:53.280,0,0,0
3931,2022-11-11 05:25:14.469,0,0,0
1592,2022-11-08 20:41:57.698,0,0,0
2214,2023-01-25 08:23:57.334,0,0,0
2134,2022-11-02 14:38:22.321,0,0,0
