ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,1,450,1745,1295
1,1,0,63,0,-63
2,1,1,459,1484,1025
3,0,0,72,0,-72
4,0,0,142,0,-142
5,1,1,129,1232,1103
6,1,1,2387,1470,-917
7,0,0,11,0,-11
8,1,0,77,0,-77
9,1,1,140,1635,1495
10,1,0,28,0,-28
11,1,0,28,0,-28
12,0,0,26,0,-26
13,1,0,21,0,-21
14,1,0,79,0,-79
15,1,0,276,0,-276
16,0,0,154,0,-154
17,0,0,26,0,-26
18,1,1,94,1409,1315
19,1,0,44,0,-44
20,1,1,495,1248,753
21,0,0,12,0,-12
22,1,0,4,0,-4
23,0,0,61,0,-61
24,0,0,30,0,-30
25,0,0,46,0,-46
26,1,1,865,1283,418
27,1,1,706,1503,797
28,1,1,150,1429,1279
29,1,0,92,0,-92
30,1,0,12,0,-12
31,1,0,4,0,-4
32,0,0,59,0,-59
33,1,0,138,0,-138
34,1,0,40,0,-40
35,0,0,74,0,-74
36,1,0,5,0,-5
37,1,1,171,1282,1111
38,1,0,101,0,-101
39,1,1,554,1439,885
40,1,1,430,1386,956
41,1,0,168,0,-168
42,1,0,4,0,-4
43,1,1,244,1431,1187
44,0,0,3,0,-3
45,0,0,13,0,-13
46,1,0,53,0,-53
47,1,0,13,0,-13
48,0,0,20,0,-20
49,1,1,2653,1348,-1305
50,1,0,139,0,-139
51,1,0,174,0,-174
52,1,0,22,0,-22
53,1,1,142,1240,1098
54,0,0,102,0,-102
55,0,0,228,0,-228
56,1,0,58,0,-58
57,1,0,3,0,-3
58,1,0,191,0,-191
59,0,0,57,0,-57
60,0,0,59,0,-59
61,1,0,26,0,-26
62,1,1,74,1320,1246
63,0,0,178,0,-178
64,0,0,49,0,-49
65,1,0,1,0,-1
66,1,0,39,0,-39
67,0,0,27,0,-27
68,1,0,29,0,-29
69,1,0,13,0,-13
70,1,0,43,0,-43
71,0,0,21,0,-21
72,1,1,322,1460,1138
73,0,0,220,0,-220
74,1,0,33,0,-33
75,1,0,116,0,-116
76,0,0,12,0,-12
77,0,0,57,0,-57
78,1,1,637,2520,1883
79,0,0,71,0,-71
80,0,0,12,0,-12
81,1,1,777,1288,511
82,1,0,38,0,-38
83,1,0,82,0,-82
84,1,1,218,1930,1712
85,0,0,124,0,-124
86,0,0,64,0,-64
87,1,1,190,1731,1541
88,1,0,10,0,-10
89,1,1,320,1601,1281
90,1,0,14,0,-14
91,1,1,85,1212,1127
92,1,1,118,1349,1231
93,0,0,39,0,-39
94,1,0,10,0,-10
95,0,0,110,0,-110
96,1,0,119,0,-119
97,0,0,32,0,-32
98,0,0,27,0,-27
