ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,29,30565.429544683455,0.03923448325464324,1,146,19341,1474,20669
1,39,25535.799745467586,0.08253948435357926,0,67,0,0,-67
2,29,24759.677688673306,0.010336296944426806,0,254,0,0,-254
3,39,23610.59932036555,0.20389786405660187,0,113,0,0,-113
4,75,57996.06289489109,0.12187416438571919,1,461,7573,1960,9072
5,61,21807.869234931433,0.07491420192479545,0,41,0,0,-41
6,43,23406.88671707334,0.006140022756992724,1,210,5526,1577,6893
7,34,22567.692447637903,0.26180907171317436,1,206,8456,1569,9819
8,33,31822.319716300477,0.44977664825328534,0,1,0,0,-1
9,73,27446.04254586157,0.045854640038791444,1,128,6831,2071,8774
10,23,20135.289741435532,0.21119382828056046,0,14,0,0,-14
11,40,24410.229997918406,0.007359647921811549,1,1042,7963,1925,8846
12,22,26439.78736500975,0.08742851337990509,0,112,0,0,-112
13,35,22115.013018998154,0.30627449364104453,0,3,0,0,-3
14,35,23685.863766358318,0.10809763513939534,0,30,0,0,-30
15,27,20768.492346124647,0.05880005815345879,1,39,8206,1404,9571
16,22,23141.587763783315,0.047631583631033286,1,973,17409,2645,19081
17,36,25431.96172753259,0.028957665588236894,1,794,6384,1419,7009
18,20,22490.802743356235,0.07887711882170192,0,74,0,0,-74
19,28,23651.096986432643,0.0460300803090339,1,649,9072,1428,9851
20,20,27068.89712975207,0.08149808539734342,1,508,6060,2551,8103
21,20,31741.259445868967,0.0676194273020582,1,66,5416,2219,7569
22,27,21247.674464726988,0.041236812440796244,1,407,8447,1642,9682
23,38,25989.59711679302,0.015354295592884424,1,1437,9873,1580,10016
24,36,76081.47425612026,0.026609948315188744,1,299,5544,1921,7166
25,64,20708.876445962167,0.09470735717609462,1,580,6904,1496,7820
26,43,30497.87463114844,0.08033488459785251,1,1017,5873,1631,6487
27,33,23505.438132017975,0.125342956789332,0,102,0,0,-102
28,23,20169.04097474212,0.04796077802861837,1,447,9122,4984,13659
29,32,56024.71795280612,0.015095196728467345,1,704,6054,1980,7330
30,21,23075.56039185251,0.1791651693637585,1,2013,12912,1862,12761
31,47,49795.20510301422,0.1333042433368653,0,19,0,0,-19
