ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,18,20855.797436701087,0.017803612116109604,1,193,4969,2818,7594
1,69,32627.896360672847,0.0359781493927842,1,2484,5336,2716,5568
2,60,27385.89809740129,0.3856205645741255,0,54,0,0,-54
3,45,24218.475331223726,0.11585899220870124,0,8,0,0,-8
4,48,49975.508592303835,0.0028643336826843988,1,774,10936,2538,12700
5,41,24238.08548282028,0.0930887818296116,1,450,6474,3903,9927
6,23,20827.370685400703,0.014033717361373614,1,1596,4993,2579,5976
7,72,24339.25821116397,0.017462682661375246,1,1539,10836,2508,11805
8,20,32996.090215617245,0.13874011874702313,0,21,0,0,-21
9,34,27206.653774644623,0.06639010439717599,0,10,0,0,-10
10,57,51646.716010885204,0.29891570852820565,0,25,0,0,-25
11,53,22039.723471219837,0.033571849901993564,1,846,9453,2396,11003
12,39,20282.264749437596,0.13737944295827345,1,1189,4762,8086,11659
13,19,29083.50288254916,0.06884545391244862,1,269,6955,2286,8972
14,47,52050.94756974136,0.3276889314166793,1,475,8317,3294,11136
15,24,20393.116651298253,0.08315477878492933,1,711,7714,2475,9478
16,45,41771.003467382725,0.026093213454775947,1,109,4844,4013,8748
17,45,20200.896567101387,0.03860963515466111,1,219,4959,2488,7228
18,47,30633.692833882753,0.161292163394361,1,1007,19393,3006,21392
19,51,30937.507821824747,0.021500626462452415,1,549,7204,2425,9080
20,31,20903.188160721988,0.15400442171333661,1,791,4956,2516,6681
21,18,23747.237115685653,0.36886922903028946,1,69,8676,3151,11758
22,74,29877.520630970906,0.06577364093870176,0,7,0,0,-7
23,22,24678.664288824166,0.12622707891597065,1,144,5901,2299,8056
24,29,21648.59749311612,0.19874203640671365,1,568,6906,3348,9686
25,40,23875.497441675834,0.23196599366067036,1,444,5419,6245,11220
26,71,22003.406206033334,0.19843631761207295,1,349,5981,2910,8542
27,58,25983.845726213385,0.13682123606973065,1,406,4859,2677,7130
28,73,20348.602006472232,0.015818478588735252,1,37,4796,2287,7046
29,30,20708.161158064268,0.04697599972575171,1,1613,4903,2356,5646
30,25,22599.73963421528,0.28965639759453893,0,164,0,0,-164
31,64,21325.54804223549,0.024583541824549256,1,238,7806,2448,10016
32,67,37739.15538089458,0.19486491252918012,1,83,6005,2335,8257
33,35,38978.47632633401,0.008726035317405957,1,636,5236,3935,8535
34,23,28286.848317318058,0.16797478146972378,1,1214,6308,2554,7648
35,29,32354.43663924753,0.019275703395352412,1,159,5835,2527,8203
36,36,25245.50932220905,0.18675225319103014,1,710,7674,2302,9266
37,51,21148.657685798615,0.03363529045328543,1,143,5533,6015,11405
38,44,27225.37385050894,0.1143966660106175,1,609,13252,2333,14976
39,57,23726.907289480387,0.27087119137593535,0,183,0,0,-183
40,42,32790.24754124274,0.15012946297406876,0,1,0,0,-1
41,43,52291.59456054064,0.031082185747541267,1,492,27696,3418,30622
42,30,22731.48793657983,0.2563409276026453,1,1193,5986,2401,7194
43,35,21620.52212577412,0.19186014682619928,1,411,30036,2536,32161
44,22,25803.53980400089,0.32376251769426667,1,202,8773,3095,11666
45,22,22923.86185086444,0.2667990647190301,1,1983,6974,2311,7302
46,49,25719.035243725142,0.01828284891082583,1,137,6399,2511,8773
