"client_rk","visit_dttm","account_rk","registration_dttm","application_rk","game_rk","application_dttm","game_dttm","game_flg","finish_flg","games_played","games_finished"
7,2022-12-23 00:11:33.370,,,,,,,,,,
23,2022-09-04 17:27:12.974,754,2022-09-05 17:03:10.693,,,,,,,,
39,2022-12-22 13:54:12.528,,,,,,,,,,
55,2022-12-07 10:16:26.932,,,,,,,,,,
71,2022-10-17 15:29:43.050,,,,,,,,,,
87,2022-10-28 09:46:57.397,,,,,,,,,,
103,2022-09-10 20:24:09.883,,,,,,,,,,
119,2022-10-21 06:33:29.188,,,,,,,,,,
135,2023-01-31 10:50:42.672,,,,,,,,,,
151,2022-12-21 05:19:20.463,,,,,,,,,,
167,2022-10-01 20:19:41.859,196,2022-10-01 22:00:05.188,,,,,,,,
183,2022-09-27 12:28:44.762,,,,,,,,,,
199,2022-11-24 10:32:09.237,,,,,,,,,,
215,2022-09-08 14:49:45.759,,,,,,,,,,
231,2022-12-28 01:52:54.053,,,,,,,,,,
247,2022-09-17 23:33:49.407,,,,,,,,,,
268,2022-10-02 18:45:52.404,,,,,,,,,,
284,2022-10-09 03:48:34.679,,,,,,,,,,
300,2023-01-13 05:36:19.111,,,,,,,,,,
316,2023-01-30 04:49:18.890,44,2023-01-30 11:08:25.162,,,,,,,,
332,2023-01-03 07:17:40.855,,,,,,,,,,
348,2022-09-28 04:49:12.010,,,,,,,,,,
364,2022-10-08 18:39:05.661,897,2022-10-08 23:58:04.516,,,,,,,,
380,2022-12-17 13:40:48.746,,,,,,,,,,
396,2022-11-21 06:22:03.064,,,,,,,,,,
412,2022-09-02 04:30:15.039,,,,,,,,,,
428,2022-10-26 19:16:44.939,,,,,,,,,,
444,2022-12-30 01:17:16.820,,,,,,,,,,
460,2023-01-01 11:02:19.825,537,2023-01-02 10:38:50.020,,,,,,,,
476,2022-10-06 07:55:05.124,,,,,,,,,,
492,2022-10-04 12:02:13.747,591,2022-10-04 16:44:13.533,70,73,2022-10-17 04:18:19.702,2022-11-26 12:23:44.323,1,0,1,0
508,2022-10-06 09:36:32.158,,,,,,,,,,
513,2022-09-11 05:31:34.828,,,,,,,,,,
529,2022-12-18 08:14:41.726,,,,,,,,,,
545,2023-01-17 17:14:13.593,,,,,,,,,,
561,2022-12-20 01:33:56.158,,,,,,,,,,
577,2022-10-16 13:29:49.080,481,2022-10-17 03:19:49.432,400,143,2022-10-28 14:32:39.774,2022-12-30 10:39:51.834,0,0,1,1
577,2022-10-16 13:29:49.080,481,2022-10-17 03:19:49.432,316,287,2022-10-23 14:03:04.840,2023-01-05 03:53:09.910,1,1,1,1
593,2022-10-12 11:57:55.210,,,,,,,,,,
609,2022-12-14 04:06:34.861,,,,,,,,,,
625,2023-01-19 13:33:00.860,,,,,,,,,,
641,2023-01-08 13:54:45.235,,,,,,,,,,
657,2022-11-18 20:26:15.350,,,,,,,,,,
673,2022-10-22 19:42:26.140,,,,,,,,,,
689,2022-12-09 08:03:34.682,,,,,,,,,,
705,2022-11-23 02:34:48.124,,,,,,,,,,
721,2022-10-06 22:06:56.470,853,2022-10-07 02:54:32.150,466,380,2022-10-11 15:44:01.574,2022-10-25 16:57:20.172,1,0,2,1
721,2022-10-06 22:06:56.470,853,2022-10-07 02:54:32.150,38,20,2022-10-10 12:30:50.669,2022-10-24 06:59:47.134,1,1,2,1
737,2022-10-20 07:56:49.114,,,,,,,,,,
753,2022-10-01 06:45:19.166,991,2022-10-01 19:49:39.780,,,,,,,,
774,2022-10-28 22:33:44.206,739,2022-10-29 04:45:04.766,110,91,2022-10-31 07:07:05.443,2022-12-04 17:15:55.215,1,1,1,1
774,2022-10-28 22:33:44.206,739,2022-10-29 04:45:04.766,162,178,2022-11-09 12:07:25.583,2023-02-26 05:06:43.456,0,0,1,1
790,2022-10-18 15:26:05.003,,,,,,,,,,
806,2022-09-08 02:22:20.124,,,,,,,,,,
822,2023-01-30 02:17:15.522,,,,,,,,,,
838,2022-11-26 16:22:12.331,,,,,,,,,,
854,2023-01-29 20:26:57.297,,,,,,,,,,
870,2023-01-08 14:22:04.225,,,,,,,,,,
886,2022-09-09 02:41:33.206,,,,,,,,,,
902,2022-12-30 18:06:51.392,,,,,,,,,,
918,2022-11-29 20:07:55.762,458,2022-11-30 03:59:58.359,325,393,2022-12-08 09:51:23.658,2022-12-19 17:52:42.592,1,1,1,1
934,2022-09-10 06:17:17.711,,,,,,,,,,
950,2022-10-11 20:14:53.339,,,,,,,,,,
966,2023-01-21 01:49:14.221,,,,,,,,,,
982,2023-01-15 12:34:37.381,836,2023-01-15 16:39:02.447,36,27,2023-01-19 04:16:08.751,2023-01-26 21:03:07.262,1,1,1,1
998,2022-12-18 19:31:44.370,915,2022-12-19 06:37:51.607,,,,,,,,
1014,2022-09-15 13:51:33.332,,,,,,,,,,
1035,2022-12-23 03:18:04.936,,,,,,,,,,
1051,2022-09-21 07:03:50.451,,,,,,,,,,
1067,2022-11-28 21:02:09.423,,,,,,,,,,
1083,2022-12-15 13:38:24.407,,,,,,,,,,
1099,2022-10-25 21:29:19.704,,,,,,,,,,
1115,2022-10-02 17:32:44.911,,,,,,,,,,
1131,2022-12-03 06:37:28.347,,,,,,,,,,
1147,2022-12-15 19:35:34.529,608,2022-12-16 16:33:57.407,,,,,,,,
1163,2022-11-15 10:50:05.205,,,,,,,,,,
1179,2023-01-03 04:37:19.529,,,,,,,,,,
1195,2022-11-04 03:43:17.422,,,,,,,,,,
1211,2023-01-21 13:11:39.671,,,,,,,,,,
1227,2022-11-05 20:46:57.060,,,,,,,,,,
1243,2022-09-30 06:48:49.703,,,,,,,,,,
1259,2022-12-31 12:07:59.341,,,,,,,,,,
1275,2022-09-09 04:34:39.225,,,,,,,,,,
1280,2023-01-07 19:02:26.727,231,2023-01-08 09:07:02.876,,,,,,,,
1296,2022-10-10 11:19:20.966,,,,,,,,,,
1312,2022-12-20 09:34:01.183,,,,,,,,,,
1328,2023-02-01 13:38:04.074,569,2023-02-01 22:15:23.649,,,,,,,,
1344,2022-10-01 20:50:38.176,102,2022-10-02 17:17:31.660,,,,,,,,
1360,2022-09-15 04:01:53.333,313,2022-09-15 10:41:09.655,,,,,,,,
1376,2022-10-22 04:30:30.723,244,2022-10-22 18:09:06.467,,,,,,,,
1392,2022-10-05 07:22:49.579,,,,,,,,,,
